能源用戶名稱,所在區域
台南紡織股份有限公司化學纖維廠,臺南市仁德區
南緯實業股份有限公司,臺南市仁德區
三星科技股份有限公司,臺南市歸仁區
台南紡織股份有限公司太子廠,臺南市仁德區
泰豐合金股份有限公司,臺南市永康區
台灣杰士電池工業股份有限公司,臺南市永康區
大成長城企業股份有限公司,臺南市永康區
三新紡織股份有限公司,臺南市永康區
統一企業股份有限公司永康廠,臺南市永康區
興南鑄造廠股份有限公司,臺南市永康區
佳大世界股份有限公司,臺南市永康區
台南紡織股份有限公司新市廠,臺南市新市區
台灣自來水股份有限公司第六區管理處台南給水廠,臺南市新市區
統一企業股份有限公司新巿廠,臺南市新市區
東雲股份有限公司,臺南市新市區
統懋半導體股份有限公司,臺南市新市區
佳和實業股份有限公司大營廠,臺南市新市區
東弘金屬工業股份有限公司,臺南市新市區
佳和實業股份有限公司,臺南市新市區
三皇生物科技股份有限公司善化總廠,臺南市善化區
台灣菸酒股份有限公司善化啤酒廠,臺南市善化區
東陽實業廠股份有限公司,臺南市安南區
榮國企業股份有限公司,臺南市安南區
光陽工業股份有限公司第一廠,高雄市三民區
光陽工業股份有限公司第二廠,高雄市三民區
台灣塑膠工業股份公司,嘉義縣新港鄉
台灣塑膠工業股份公司新港廠(POM),嘉義縣前鎮區
台灣塑膠工業股份公司(臺灣營德股份有限公司),嘉義縣新港鄉
台達化學工業股份有限公司,高雄市前鎮區
台灣日東電工股份有限公司,高雄市前鎮區
台灣日電產三協股份有限公司,高雄市前鎮區
志昱科技股份有限公司,高雄市前鎮區
洲際電子股份有限公司,高雄市楠梓區
台灣恩智浦半導體股份有限公司,高雄市楠梓區
台灣雙葉電子股份有限公司,高雄市楠梓區
三芳化學工業股份有限公司,高雄市仁武鄉
台灣中油股份有限公司煉製事業部高雄煉油廠,高雄市楠梓區
東南水泥股份有限公司,高雄市楠梓區
中國人造纖維股份有限公司高雄總廠,高雄市大社鄉
李長榮化學工業股份有限公司大社廠,高雄市大社鄉
中國石油化學工業開發股份有限公司大社廠,高雄市大社鄉
