"","U_ID","CODEBASE","CODE1","CODE2","VILLCODE","VILLAGE_ID","VILLAGE","TOWN_ID","TOWN","COUNTY_ID","COUNTY","USE_CODE","LINE","SPECODE","X","Y","AREA","M","USECODE"
"2820",4783,"A6301-0177-00","A6301-14-005","A6301-14","A6301-016-00","016","民有里","63000010","松山區","63000","臺北市","03","05",NA,305045.24485,2772452.35413,5075.41663,NA,NA
"2821",4784,"A6310-1160-00","A6310-86-002","A6310-86","A6310-028-00","028","石潭里","63000100","內湖區","63000","臺北市","01","05",NA,309440.50696,2772410.10533,8987.47444,NA,NA
"2822",4785,"A6304-0674-00","A6304-44-006","A6304-44","A6304-021-00","021","松江里","63000040","中山區","63000","臺北市","03","05",NA,304128.67294,2772408.09353,12654.54699,NA,NA
"2823",4786,"A6304-0650-00","A6304-40-008","A6304-40","A6304-029-00","029","江山里","63000040","中山區","63000","臺北市","03","05",NA,304218.41073,2772456.35071,3261.30923,NA,NA
"2824",4787,"A6304-0651-00","A6304-46-007","A6304-46","A6304-029-00","029","江山里","63000040","中山區","63000","臺北市","03","02",NA,304334.47216,2772457.60985,3150.81738,NA,NA
"2825",4788,"A6304-0652-00","A6304-46-008","A6304-46","A6304-029-00","029","江山里","63000040","中山區","63000","臺北市","03","05",NA,304478.76435,2772452.19271,6263.39301,NA,NA
"2826",4789,"A6301-0188-00","A6301-15-009","A6301-15","A6301-016-00","016","民有里","63000010","松山區","63000","臺北市","03","01",NA,305287.45245,2772414.58764,7588.30938,NA,NA
"2827",4790,"A6306-0331-00","A6306-28-004","A6306-28","A6306-011-00","011","雙連里","63000060","大同區","63000","臺北市","03","05",NA,302319.43988,2772449.1156,2863.86699,NA,NA
"2828",4791,"A6301-0180-00","A6301-17-005","A6301-17","A6301-003-00","003","東榮里","63000010","松山區","63000","臺北市","03","05",NA,306438.33003,2772442.72847,9043.59595,NA,NA
"2829",1623,"A6311-0541-00","A6311-28-005","A6311-28","A6311-025-00","025","岩山里","63000110","士林區","63000","臺北市","04","05",NA,303848.0096,2777467.87686,134043.81796,NA,NA
